ticker,horizon,rmse,mz_alpha,mz_beta,mz_r2,n,v8_beta,v8_r2,delta_beta_to_1,delta_r2,v8_in_band,v10_in_band
GE,21,0.091843,0.0973,1.0293,0.6728,2973,0.6320314454465945,0.1518259877753359,-0.3386685545534054,0.520974012224664,False,True
GE,63,0.084335,0.0541,1.0046,0.6543,2973,0.0929063266031484,0.0079886119819738,-0.9024936733968516,0.6463113880180262,False,True
GE,126,0.063892,0.0192,0.9918,0.768,2973,0.2414544474922512,0.0934160853737616,-0.7503455525077488,0.6745839146262385,False,True
GILD,21,0.06417,0.0892,1.0621,0.4561,2973,0.0089594752814311,0.0027059160059546,-0.9289405247185688,0.4533940839940454,False,True
GILD,63,0.054632,0.3242,1.2125,0.4723,2973,0.2651491885526247,0.0202064641946717,-0.5223508114473754,0.4520935358053283,False,True
GILD,126,0.043105,0.1906,1.1397,0.5068,2973,0.3661984922049393,0.070130837256316,-0.4941015077950608,0.43666916274368406,False,True
GS,21,0.071097,-0.1119,0.9164,0.4074,2973,0.8046072278418511,0.2161481759823974,-0.11179277215814887,0.19125182401760257,True,True
GS,63,0.061501,-0.0133,0.9646,0.3903,2973,0.4158187864497806,0.0784004251344733,-0.5487812135502194,0.31189957486552666,False,True
GS,126,0.043646,0.2083,1.0983,0.6234,2973,0.8553700563849501,0.2121034002715616,-0.04632994361504983,0.41129659972843835,True,True
HD,21,0.072801,0.1432,1.0568,0.4467,2973,1.1010976736208666,0.3490694017199881,-0.04429767362086667,0.09763059828001186,True,True
HD,63,0.064231,0.3175,1.1465,0.4049,2973,0.9400690790758012,0.1428156412316575,0.08656907907580125,0.26208435876834246,True,True
HD,126,0.052368,0.6946,1.37,0.482,2973,0.9790625912941562,0.1403164836614022,0.3490625912941563,0.3416835163385978,True,False
HON,21,0.068951,-0.0645,0.9518,0.4839,2973,0.9957358723878088,0.3191123997741871,0.04393587238780883,0.1647876002258129,True,True
HON,63,0.061906,0.1097,1.0319,0.4433,2973,0.7206082833729354,0.1155802274996629,-0.2474917166270646,0.3277197725003371,True,True
HON,126,0.048076,0.3329,1.1499,0.6035,2973,0.9756592969726894,0.1483899262515915,0.1255592969726893,0.4551100737484085,True,True
INTC,21,0.07672,0.1267,1.0616,0.6424,2973,0.5745416123375523,0.126627393398096,-0.3638583876624476,0.5157726066019039,False,True
INTC,63,0.067145,0.1797,1.0814,0.6726,2973,0.5912065879702789,0.1351986705991759,-0.32739341202972116,0.5374013294008241,False,True
INTC,126,0.052793,0.1986,1.0778,0.7695,2973,1.1607286828247856,0.5481759641532642,-0.0829286828247855,0.22132403584673577,True,True
JNJ,21,0.051348,-0.0131,0.9727,0.3849,2973,0.7827496914906575,0.1644782899176118,-0.18995030850934247,0.22042171008238823,True,True
JNJ,63,0.043518,-0.0854,0.9291,0.354,2973,0.1278673784738053,0.0146540243294585,-0.8012326215261947,0.3393459756705415,False,True
JNJ,126,0.031835,0.1532,1.0574,0.4795,2973,0.3075822268849741,0.0491507928996788,-0.6350177731150259,0.4303492071003212,False,True
KO,21,0.051208,0.1703,1.0702,0.4487,2973,0.5614325233509779,0.0932614108137299,-0.36836747664902203,0.3554385891862701,False,True
KO,63,0.046698,0.6118,1.2843,0.4466,2973,0.167310825764644,0.0048384608250398,-0.5483891742353559,0.4417615391749602,False,True
KO,126,0.038435,0.9118,1.4364,0.536,2973,0.727415491147179,0.1188668879149562,0.16381549114717886,0.41713311208504383,True,False
LLY,21,0.063439,-0.0057,0.9579,0.5194,2973,0.3872107920889944,0.0741714194040621,-0.5706892079110055,0.44522858059593784,False,True
LLY,63,0.051403,-0.074,0.9046,0.5468,2973,-0.1378306715636598,0.0099319550077677,-1.0424306715636598,0.5368680449922323,False,True
LLY,126,0.040698,0.0528,0.9799,0.6566,2973,0.502275062824744,0.18077628547151,-0.477624937175256,0.4758237145284899,False,True
