ticker,horizon,ew_alpha,ew_beta,ew_beta_raw,ew_r2,n,beta_capped
MPC,21,0.18332428135986606,0.35313710095159917,0.353137,0.05240267956200828,2829,False
MPC,63,0.15979364853589806,0.44106827795572856,0.441068,0.0528817779103965,2829,False
MPC,126,0.08640121428420186,0.6836158494785469,0.683616,0.14711832540915493,2829,False
MRK,21,0.07321918805680935,0.7003072317463797,0.700307,0.18340906980942218,2953,False
MRK,63,0.14810710969309485,0.36759513962275137,0.367595,0.06262779976519561,2953,False
MRK,126,0.05607281588914015,0.8207483428384796,0.820748,0.3597586481948657,2953,False
MS,21,0.1151157778041038,0.4884983116431946,0.488498,0.061225429764026784,2953,False
MS,63,0.21341478013562,0.08362117209256771,0.083621,0.0013727583343544625,2953,False
MS,126,0.08110950365082081,0.6604922410154555,0.660492,0.11575148233464205,2953,False
NEE,21,0.13327544637399993,0.4615416344878351,0.461542,0.08756860508727382,2953,False
NEE,63,0.2102830393616306,0.1250268326666043,0.125027,0.005453806275207529,2953,False
NEE,126,0.20652066925358453,0.13655715571835414,0.136557,0.0077128117052490675,2953,False
NEM,21,0.07692244254633665,0.7383505893637534,0.738351,0.16867632052922488,2953,False
NEM,63,0.1230115453086662,0.6009667147684412,0.600967,0.07324746030242946,2953,False
NEM,126,-0.0325313788202124,1.1861808165659373,1.186181,0.2187980061058551,2953,False
NFLX,21,0.005066467807394337,0.8828702199932401,0.88287,0.537918123498764,2953,False
NFLX,63,0.02748531332881396,0.7831780507996626,0.783178,0.35569650294717803,2953,False
NFLX,126,0.03994657676621646,0.7443810502376885,0.744381,0.31384701217263566,2953,False
NKE,21,0.14408661679428708,0.42814939290952825,0.428149,0.0902254198478486,2953,False
NKE,63,0.03655408955414832,0.9686349848996844,0.968635,0.19369405261124772,2953,False
NKE,126,0.061382659744603385,0.8634099325241676,0.86341,0.19347461009311706,2953,False
NOC,21,0.04056517045279895,0.7971300286107206,0.79713,0.28591278398422126,2953,False
