ticker,horizon,bucket,n,rmse,qlike,mean_y_true,mean_y_pred,mean_bias
AMT,21,bottom_10,252,0.034299437762503555,0.028445466676147693,0.12150471589831441,0.15357127890457392,0.03206656300625951
AMT,21,middle_80,2012,0.03383737671009241,0.016256055170348182,0.19632050386918726,0.18595229476690284,-0.010368209102284438
AMT,21,top_10,252,0.1734088940636466,0.13003724741508504,0.3609576071083491,0.2649661743207761,-0.09599143278757298
AMT,63,bottom_10,252,0.025746303327636316,0.013458882747373179,0.13805167177227987,0.16217643171044904,0.024124759938169146
AMT,63,middle_80,2012,0.026071455686170447,0.008868728556676923,0.20031489675711955,0.19367713043472498,-0.006637766322394597
AMT,63,top_10,252,0.1878349263942098,0.2184749574025708,0.360045606065084,0.23293945166212845,-0.1271061544029555
AMT,126,bottom_10,252,0.015209658206262093,0.004479956271970756,0.1504996927174231,0.1621335327504194,0.011633840032996303
AMT,126,middle_80,2012,0.021748679103169896,0.005284710081026205,0.20313672818178077,0.19896009550602267,-0.004176632675758115
AMT,126,top_10,252,0.15093030586098694,0.16146357352109128,0.35969084076837365,0.23714983313129373,-0.12254100763707994
AMZN,21,bottom_10,252,0.04997708407188803,0.04898327067488831,0.12033303911270662,0.16125534044646797,0.040922301333761325
AMZN,21,middle_80,2012,0.0466903513693856,0.021323516315469075,0.22709731601951522,0.22367167996743162,-0.003425636052083627
AMZN,21,top_10,252,0.16869411863917913,0.123670925070139,0.4256885791774378,0.3196415174838548,-0.10604706169358298
AMZN,63,bottom_10,252,0.04698002478762927,0.03861784233979833,0.13380060190373738,0.17411062792834228,0.040310026024604886
AMZN,63,middle_80,2012,0.04851892374385281,0.022116699922103154,0.23671057146070737,0.22574601175587866,-0.010964559704828689
AMZN,63,top_10,252,0.11201368235183654,0.07390344829514955,0.3882403387816669,0.29435756359825144,-0.09388277518341549
AMZN,126,bottom_10,252,0.044148566099144686,0.027221553049597363,0.15401482072082484,0.18684179359589714,0.03282697287507231
AMZN,126,middle_80,2012,0.04096116770929401,0.015304879671691684,0.2407348627380482,0.229228605187842,-0.011506257550206216
AMZN,126,top_10,252,0.08761651450727155,0.04356024261180696,0.3691147873693805,0.2863199607803962,-0.08279482658898436
APD,21,bottom_10,252,0.028261176855622724,0.020741996748497783,0.10960729216538069,0.1318778621939531,0.022270570028572405
APD,21,middle_80,2012,0.03036626831720367,0.015453706826480824,0.17909168101138526,0.17642251063932085,-0.002669170372064421
APD,21,top_10,252,0.1848324988181766,0.19797377083490517,0.3388362290313961,0.2157876929038888,-0.12304853612750732
APD,63,bottom_10,252,0.0202446105733757,0.011665184956915885,0.1173977229746979,0.13459200240465016,0.017194279429952265
